sifra,tip,stanica,datum_vrijeme,T,RR,vjetar,smjer_kod,udar,insolacija,pritisak
02BAR010,glavna,Bar,17.08.2026 11:50,28.30,0.00,2.30,22,,789.6,1012.1
02BERA20,glavna,Berane,17.08.2026 11:00,26.84,0.00,1.40,24,2.70,,935.37
02CTNJ10,glavna,Cetinje,17.08.2026 11:50,29.40,0.00,0.60,8,,826.6,940.6
02HNOV10,glavna,Herceg Novi,17.08.2026 11:50,29.30,0.00,0.60,10,,804.2,1007.8
02KOLS10,glavna,Kolašin,17.08.2026 11:50,28.20,0.00,0.50,22,,827.2,908.0
02NIKS10,glavna,Nikšić,17.08.2026 11:50,30.30,0.00,3.40,16,,854.6,939.5
02PDGR10,glavna,Podgorica,17.08.2026 11:50,31.00,0.00,2.80,16,,800.8,1005.6
02PLJV10,glavna,Pljevlja,17.08.2026 11:50,29.00,0.00,1.60,18,,827.4,924.2
02ULCN10,glavna,Ulcinj,17.08.2026 11:50,29.00,0.00,3.90,16,,826.0,1012.2
02ZBLJ10,glavna,Žabljak,17.08.2026 11:50,25.40,0.00,0.80,30,,902.4,856.2
02BIST20,klimatološka,Bistrica,17.08.2026 11:00,26.60,0.00,1.50,28,2.80,,
02BOAN30,klimatološka,Boan,17.08.2026 11:00,27.22,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,17.08.2026 11:00,25.32,,,,,,
02BUDV20,klimatološka,Budva,17.08.2026 11:00,27.98,,,,,,
02CRKV30,klimatološka,Crkvice,17.08.2026 11:00,25.29,,,,,,
02DANL20,klimatološka,Danilovgrad,17.08.2026 11:00,30.60,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,17.08.2026 11:00,25.41,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,17.08.2026 11:00,24.82,,,,,,
02GRAD30,klimatološka,Gradac,17.08.2026 11:00,27.34,,,,,,
02IVKO30,klimatološka,Ivanova korita,17.08.2026 11:00,23.56,0.00,,,,,
02KOSA30,klimatološka,Kosanica,17.08.2026 11:00,26.36,,,,,,
02KOVR30,klimatološka,Kovren,17.08.2026 10:00,21.76,0.00,,,,,
02KUKO30,klimatološka,Kučka korita,17.08.2026 11:00,22.39,0.00,,,,,
02LKOT20,klimatološka,Luka Kotor,17.08.2026 11:21,29.70,,0.60,,2.60,,
02MAMO30,klimatološka,Manastir Morača,17.08.2026 11:00,31.42,,,,,,
02MATE30,klimatološka,Matesevo,17.08.2026 11:00,26.85,0.00,,,,,
02MOKR30,klimatološka,Mokro,17.08.2026 11:00,26.13,,,,,,
02NJGV30,klimatološka,Njegovuđa,17.08.2026 11:00,24.90,,,,,,
02PLZN20,klimatološka,Pluzine,17.08.2026 08:00,16.40,0.00,0.00,32,0.60,,
02POSC30,klimatološka,Pošćenje,17.08.2026 11:00,27.72,,,,,,
02STAB30,klimatološka,Stabna,17.08.2026 11:00,27.13,,,,,,
02STIT30,klimatološka,Štitarica,17.08.2026 11:00,26.76,,,,,,
02UBLI20,klimatološka,Ubli,17.08.2026 11:00,27.43,,,,,,
02VELK30,klimatološka,Velika,17.08.2026 11:00,29.99,,,,,,
02VELM20,klimatološka,Velimlje,17.08.2026 11:00,28.60,0.00,3.10,22,4.90,,
02VIRP20,klimatološka,Virpazar,17.08.2026 11:00,29.30,0.00,,,,,
